,title,0,af,als,az,bar,br,bs,ca,cbk-zam,co,cs,cy,da,de,diq,eml,en,eo,es,et,eu,fi,fr,fy,ga,gl,hr,ht,hu,ia,id,ie,ig,io,is,it,jam,la,lb,lfn,lmo,lt,lv,ms,nap,nb,nl,nn,nov,pl,pt,ro,ru,sc,scn,sh,simple,sk,sl,sq,sv,tl,tr,uz,war,Total,mean
17,Carta bianca (Lucarelli),1.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.066666666666666
18,Castelli di rabbia,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,23.75
19,Cave canem (romanzo),1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,11.666666666666668
20,Chuang Tse e il primo imperatore,1.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,5.133333333333334
21,City (romanzo),1.0,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,8.4
22,Come Dio comanda,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.125
23,Cuore di pietra,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.75
24,Danubio (romanzo),1.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,8.4
25,Della Ragion di Stato,1.0,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,14.933333333333334
26,E duro campo di battaglia il letto,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.8666666666666667
27,Educazione siberiana,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.875
28,Fai bei sogni,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,14.375
29,Francesca e Nunziata,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,9.0,4.2
30,Garibaldi a Gettysburg,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,6.875
31,Gli arancini di Montalbano,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,88.125
32,Gli universi di Moras,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,30.625
33,Gomorra (romanzo),1.0,,,,,,,,,,,,,10.0,,,43.0,4.0,17.0,4.0,,,25.0,,,,,,,,,,,,,257.0,,,,,,,,,4.0,,4.0,,,,5.0,,,,,,,,,,5.0,,,,,379.0,56.398809523809526
34,Hanno tutti ragione,1.0,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,14.466666666666665
35,Ho voglia di te,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,4.2
36,I casi del capitano Flores. Il mistero della sedia a rotelle,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,11.875
37,I casi del capitano Flores. Killer presunto,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,11.25
38,I dodici abati di Challant,1.0,,,,,,,1.0,,,,,,,,,5.0,,1.0,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,34.0,9.208333333333334
39,I leoni di Sicilia,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,27.066666666666663
40,I randagi,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.375
41,I sommersi e i salvati,1.0,,,,,,,,,,,,,,,,41.0,,10.0,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,36.75
42,Idi di marzo (Valerio Massimo Manfredi),1.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,14.466666666666665
43,Il baffo del dittatore,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.125
44,Il campo del vasaio,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,81.25
45,Il cane di terracotta,1.0,,,,,,,1.0,,,,,,,,,27.0,,,,,,,,,3.0,,,,,,,,,,134.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,167.0,45.229166666666664
46,Il castello di Eymerich,1.0,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,11.2
47,Il cavaliere e la morte,1.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,7.933333333333333
